s	t	MFKC	Jaccard	JaroWinkler
Adelaide of Italy	Adelaide of Italy	1.0	1.0	1.0
Maria, wife of Constantine V	Maria	0.3939393939393939	0.13793103448275862	0.8083333333333333
Bille August	Bille August	1.0	1.0	1.0
Julian (actor)	Julian (pornographic actor)	0.9024390243902439	0.41379310344827586	0.7981481481481482
Personal life of Leonardo da Vinci	Personal life of Leonardo da Vinci	1.0	1.0	1.0
Bayezid II	Veli	0.2857142857142857	0.0	0.5666666666666667
Carl Barks	Carl Barks	1.0	1.0	1.0
Irene of Athens	Saint Irene	0.6923076923076923	0.13043478260869565	0.5868686868686869
Agnes of Merania	Agnes of Merania	1.0	1.0	1.0
Amitabh Bachchan	Amida	0.47619047619047616	0.10526315789473684	0.7783333333333333
Augustine of Hippo	Augustine of Hippo	1.0	1.0	1.0
Abd ar-Rahman V	Abd ar-Rahman V	1.0	1.0	1.0
Ferdinand III, Grand Duke of Tuscany	Ferdinand III	0.7551020408163265	0.34285714285714286	0.850925925925926
Francis José da Silva	Francis José da Silva	1.0	1.0	1.0
Alvar Aalto	Hugo Alvar Henrik Aalto	0.7647058823529411	0.36	0.4802371541501976
Prince Hermann of Saxe-Weimar-Eisenach (1886–1964)	Prince Hermann of Saxe-Weimar-Eisenach	0.875	0.7254901960784313	0.944
Antoine Lavoisier	Lavoisier	0.8076923076923077	0.4444444444444444	0.47657952069716775
Andrew Tridgell	Tridge	0.7142857142857143	0.23529411764705882	0.45555555555555555
Bob Costas	Costas	0.8125	0.45454545454545453	0.8111111111111112
Alp Arslan	Alp Arslan	1.0	1.0	1.0
Abu Bakr	Abu Bakr	1.0	1.0	1.0
Robert Pereira da Silva	Robert Pereira da Silva	1.0	1.0	1.0
Gordon Fraser (footballer)	Gordon Fraser	0.8205128205128205	0.4444444444444444	0.8833333333333334
Stephen Harris (painter)	Stephen Harris	0.9473684210526315	0.52	0.9027777777777778
Ricardo (footballer, born 1971)	Ricardo López Felipe	0.6470588235294118	0.1590909090909091	0.712644183773216
Abel Tasman	Abel Tasman	1.0	1.0	1.0
Elias Mendes Trindade	Elias Mendes Trindade	1.0	1.0	1.0
Bill Leyden	Bill Leyden	1.0	1.0	1.0
Akira Kurosawa	Akira Kurosawa	1.0	1.0	1.0
May (singer)	May (singer)	1.0	1.0	1.0
Arthur Miller	Arthur Miller	1.0	1.0	1.0
Bill Watterson	Bill Watterson	1.0	1.0	1.0
Israel Delgado	Israel Delgado Andres	0.9428571428571428	0.5909090909090909	0.9222222222222222
Aga Khan III	Aga Khan	0.85	0.5384615384615384	0.9222222222222222
Maria Kanellis	Maria Kanellis	1.0	1.0	1.0
Willibrord	Willibrord	1.0	1.0	1.0
Alfons Maria Jakob	Alfons Maria Jakob	1.0	1.0	1.0
Wilson Rodrigues Fonseca	Wilson Rodrigues Fonseca	1.0	1.0	1.0
Louis XVII of France	Louis, Dauphin of France	0.8181818181818182	0.41935483870967744	0.8172222222222223
Walter Babington Thomas	Walter Babington Thomas	1.0	1.0	1.0
Julien Frier	Julien Frier	1.0	1.0	1.0
Albert Speer	Albert Speer	1.0	1.0	1.0
Atle Selberg	Atle Selberg	1.0	1.0	1.0
Brion Gysin	Brion Gysin	1.0	1.0	1.0
Axayacatl	Axayacatl	1.0	1.0	1.0
Molière	Moliere	0.9285714285714286	0.4	0.8944444444444445
ODB (wrestler)	ODB (wrestler)	1.0	1.0	1.0
Abd-ar-Rahman III	Abd-ar-Rahman III	1.0	1.0	1.0
Albert, Duke of Prussia	Albrecht of Brandenburg	0.6956521739130435	0.09523809523809523	0.7423913043478261
Antonio Farnese, Duke of Parma	Antonio Farnese	0.8444444444444444	0.45161290322580644	0.8833333333333334
Sidney Santos de Brito	Sidney Santos de Brito	1.0	1.0	1.0
Marilyn Harris (actress)	Marilyn Harris (actress)	1.0	1.0	1.0
Ricardo (footballer, born 1980)	Ricardo Jorge Ferreira Pinto da Silva	0.7647058823529411	0.11475409836065574	0.730478865962737
C. L. Moore	C. L. Moore	1.0	1.0	1.0
Ceawlin of Wessex	Ceawlin of Wessex	1.0	1.0	1.0
Herman (Swaiko)	Herman (Swaiko)	1.0	1.0	1.0
Carlo Collodi	Carlo Collodi	1.0	1.0	1.0
Attila	Attila	1.0	1.0	1.0
Bernie Federko	Bernie Federko	1.0	1.0	1.0
Francis, Duke of Teck	Francis	0.5357142857142857	0.2727272727272727	0.8444444444444443
Louis XV of France	Louis of France	0.9393939393939394	0.7368421052631579	0.9377777777777778
Aage Bohr	Aage Bohr	1.0	1.0	1.0
Mann (rapper)	Mann (rapper)	1.0	1.0	1.0
Heath (musician)	Heath	0.5238095238095238	0.23529411764705882	0.8395833333333333
Helena (empress)	Helena of Byzantium	0.6	0.20689655172413793	0.7213815789473684
Hermann Bauer	Hermann Bauer	1.0	1.0	1.0
Christopher Marlowe	Christopher	0.8333333333333334	0.5	0.9017543859649123
Russell Hamilton	Russell Hamilton	1.0	1.0	1.0
Maria, wife of Ivan Vladislav	Maria, wife of Ivan Vladislav	1.0	1.0	1.0
Albert Alcibiades, Margrave of Brandenburg-Kulmbach	Albert Alcibiades, Margrave of Brandenburg-Kulmbach	1.0	1.0	1.0
Amalric of Jerusalem	Amalric	0.6666666666666666	0.2857142857142857	0.8483333333333334
Henry II, Holy Roman Emperor	Henry II, Holy Roman Emperor	1.0	1.0	1.0
Bo Diddley	Bo Diddley	1.0	1.0	1.0
Boudica	Boadicea	0.8666666666666667	0.15384615384615385	0.8952380952380953
Bumin Qaghan	Bumin Qaghan	1.0	1.0	1.0
Carl Rogers	Carl Rogers	1.0	1.0	1.0
Prince Francis, Count of Trapani	Prince Francis, Count of Trapani	1.0	1.0	1.0
Anthony da Silva	Anthony da Silva	1.0	1.0	1.0
Chet Atkins	Chet Atkins	1.0	1.0	1.0
Arnulf of Carinthia	Arnulf of Carinthia	1.0	1.0	1.0
Wagner Corrêa Machado	Wagner Corrêa Machado	1.0	1.0	1.0
Afonso VI of Portugal	Afonso of Portugal	0.9487179487179487	0.7727272727272727	0.9472222222222222
Al Capone	Al Capone	1.0	1.0	1.0
Alexander Agassiz	Alexander Emanuel Agassiz	0.9285714285714286	0.6153846153846154	0.9047450980392157
Andronikos III Palaiologos	Andronicus	0.6111111111111112	0.2	0.7917948717948718
Big Brother (Nineteen Eighty-Four)	Big Brother (Nineteen Eighty-Four)	1.0	1.0	1.0
DJ Ajax	DJ Ajax	1.0	1.0	1.0
Anatole France	Anatole France	1.0	1.0	1.0
Montesquieu	Montesquieu	1.0	1.0	1.0
Clark Ashton Smith	CAS	0.2857142857142857	0.0	0.6333333333333333
Achille Casanova	Achille Casanova	1.0	1.0	1.0
Anaxagoras	Anaxagoras	1.0	1.0	1.0
Alfred Lawson	Alfred Lawson	1.0	1.0	1.0
Alan Garner	Alan Garner	1.0	1.0	1.0
David Pereira da Costa	David Pereira da Costa	1.0	1.0	1.0
Aziz (artist)	Aziz	0.5294117647058824	0.21428571428571427	0.8384615384615384
Napoleon	Napoleon	1.0	1.0	1.0
Francis, Duke of Anjou	Francis	0.5172413793103449	0.2608695652173913	0.8409090909090909
Morris (cartoonist)	Morris	0.68	0.25	0.8403508771929825
Donatello	Donatello	1.0	1.0	1.0
Albert Casimir, Duke of Teschen	Albert of Saxony	0.6595744680851063	0.20512820512820512	0.7341214565004888
Ferdinand I, Holy Roman Emperor	Ferdinand I, Holy Roman Emperor	1.0	1.0	1.0
Jack Stevens	Jack Stevens	1.0	1.0	1.0
Bob Young (businessman)	Bob Young (businessman)	1.0	1.0	1.0
James Johnston (Secretary of State)	James Johnston	0.8163265306122449	0.3611111111111111	0.86
Samuel Hunter Adams	Samuel Hunter Adams	1.0	1.0	1.0
Sivaji Ganesan	Sivaji Ganesan	1.0	1.0	1.0
Ernest, Count of Lippe-Biesterfeld	Ernest II, Count of Lippe-Biesterfeld	0.971830985915493	0.8157894736842105	0.9433359830418654
Sebastiano del Piombo	Sebastiano	0.8064516129032258	0.4090909090909091	0.8777777777777779
Thomas Arnold (bobsleigh)	Thomas Arnold (bobsleigh)	1.0	1.0	1.0
Canaletto	Canaletto	1.0	1.0	1.0
Babrak Karmal	Babrak Karmal	1.0	1.0	1.0
Frederick Muller	Frederick Muller	1.0	1.0	1.0
Robert Huber	Robert Huber	1.0	1.0	1.0
Billy Bob Thornton	BBT	0.2857142857142857	0.0	0.7500000000000001
Agatha Christie	Agatha Christie Ltd.	0.9142857142857143	0.6666666666666666	0.9416666666666667
Titian	Titian	1.0	1.0	1.0
Kate Jacobs	Kate Jacobs	1.0	1.0	1.0
Carl Linnaeus	Carl Linnaeus	1.0	1.0	1.0
Hubert de Givenchy	Hubert de Givenchy	1.0	1.0	1.0
Christian Goldbach	Christian Goldbach	1.0	1.0	1.0
Ferdinand II, Archduke of Austria	Ferdinand II	0.7333333333333333	0.3235294117647059	0.8515151515151516
Akira Toriyama	Toccio the Angel	0.43333333333333335	0.0	0.3452380952380952
Arlo Guthrie	Arlo Guthrie	1.0	1.0	1.0
Albert N. Whiting	Albert N. Whiting	1.0	1.0	1.0
John H. Hoffman	John H. Hoffman	1.0	1.0	1.0
Humphrey, Duke of Gloucester	Humphrey of Lancaster, 1st Duke of Gloucester	0.9315068493150684	0.5681818181818182	0.8285185185185185
Yuasa Yoshiko	Yuasa	0.6666666666666666	0.2857142857142857	0.8564102564102564
Ada Lovelace	Ada Lovelace	1.0	1.0	1.0
Bernard of Italy	Bernard of Italy	1.0	1.0	1.0
Billy Crystal	Billy Crystal	1.0	1.0	1.0
Wilhelm Ernst	Wilhelm Ernst	1.0	1.0	1.0
Charles Mingus	Mingus	0.65	0.3333333333333333	0.41269841269841273
Roger Machado Marques	Roger Machado Marques	1.0	1.0	1.0
Albert Einstein	Albert Einstein	1.0	1.0	1.0
Russell Smith (writer)	Russell Smith	0.8571428571428571	0.5217391304347826	0.9045454545454545
Alastair Martin	Alastair Martin	1.0	1.0	1.0
Ricardo Rocha (Brazilian footballer, born 1965)	Ricardo Cordeiro da Rocha	0.7361111111111112	0.18032786885245902	0.7842501611863313
Roberto Fernández Bonillo	Roberto Fernández Bonillo	1.0	1.0	1.0
Albert VII, Archduke of Austria	Albert of Austria	0.8333333333333334	0.5	0.8397216951296648
Alexander III of Scotland	Cultural depictions of Alexander III of Scotland	0.9041095890410958	0.5	0.6869444444444445
Andre Agassi	Andre	0.6470588235294118	0.3076923076923077	0.863888888888889
Henry I of France	Henry I of France	1.0	1.0	1.0
Charles Baudelaire	Charles Baudelaire	1.0	1.0	1.0
Andrei Tarkovsky	Concentrate (screenplay)	0.6	0.0	0.5347222222222222
Bertrand Russell	Bertrand Russell	1.0	1.0	1.0
David Charles (physician)	David Charles (physician)	1.0	1.0	1.0
Jan Janssen	Jan Janssen	1.0	1.0	1.0
Anders Celsius	Anders Celsius	1.0	1.0	1.0
Calista Flockhart	Calista Flockhart	1.0	1.0	1.0
Beatrix Potter	Beatrix Potter	1.0	1.0	1.0
Christina, Queen of Sweden	Christina, Queen of Sweden	1.0	1.0	1.0
Causantín mac Cináeda	Constantine I	0.7647058823529411	0.030303030303030304	0.6686263736263736
J (musician)	J	0.15384615384615385	0.0	0.7249999999999999
Helena (empress)	St. Helen	0.56	0.13636363636363635	0.5138888888888888
Albert Camus	Albert Camus	1.0	1.0	1.0
Anastasius I Dicorus	Anastasius I Dicorus	1.0	1.0	1.0
Bernard of Kilwinning	Bernard of Kilwinning	1.0	1.0	1.0
Voltaire (musician)	Voltaire (musician)	1.0	1.0	1.0
Ansgar	Ansgar	1.0	1.0	1.0
Philip I of Castile	Philip I of Castile	1.0	1.0	1.0
Augustine of Canterbury	Augustinus	0.6363636363636364	0.2692307692307692	0.8011594202898551
Christian VIII of Denmark	Christian VIII of Denmark	1.0	1.0	1.0
Augustin-Jean Fresnel	Augustin-Jean Fresnel	1.0	1.0	1.0
Albert, Duke of Schleswig-Holstein	Albert, Duke of Schleswig-Holstein	1.0	1.0	1.0
Vicar (cartoonist)	Vicar (comics)	0.875	0.2916666666666667	0.888888888888889
Mieczyslaw Gruber	Gruber	0.5652173913043478	0.2777777777777778	0.48366013071895425
Akira Toriyama	Pola & Roid	0.52	0.0	0.42478354978354976
Chuck D	Chuck D	1.0	1.0	1.0
Camille Pissarro	Camille Pissarro	1.0	1.0	1.0
Neneco Norton	Neneco Norton	1.0	1.0	1.0
Ainslie Roberts	Ainslie Roberts	1.0	1.0	1.0
Andrey Markov	Andrei Markov	0.9230769230769231	0.625	0.9641025641025641
Arthur W. Murray	Arthur W. Murray	1.0	1.0	1.0
Jones Leandro	Jones Leandro	1.0	1.0	1.0
Richard III, Duke of Normandy	Richard III	0.7	0.3333333333333333	0.8551724137931035
Bela Lugosi	Bela Lugosi	1.0	1.0	1.0
Carlo Goldoni	Carlo Goldoni	1.0	1.0	1.0
Charlemagne	Gisela	0.47058823529411764	0.0	0.47979797979797983
Alois Alzheimer	Alzheimer	0.875	0.6	0.8340740740740741
Bobby Charlton	Robert Charlton	0.8620689655172413	0.38095238095238093	0.7336219336219335
Anaximenes of Miletus	Anaximenes of Miletus	1.0	1.0	1.0
Anna Kournikova	Anna Kournikova	1.0	1.0	1.0
Athanasius of Alexandria	Athanasius of Alexandria	1.0	1.0	1.0
Absalon	Absalom	0.8571428571428571	0.5555555555555556	0.9333333333333333
Alexios V Doukas	Emperor Alexius	0.7096774193548387	0.10714285714285714	0.548611111111111
Albrecht Dürer	Durer	0.5263157894736842	0.11764705882352941	0.5142857142857143
Blind Lemon Jefferson	Blind Lemon Jefferson	1.0	1.0	1.0
Cornelis Pronk	Cornelis Pronk	1.0	1.0	1.0
Military career of Napoleon Bonaparte	Military career of Napoleon Bonaparte	1.0	1.0	1.0
Anne Brontë	Bronte	0.8235294117647058	0.21428571428571427	0.5050505050505051
Casimir III the Great	Casimir III of Poland	0.6904761904761905	0.3548387096774194	0.8444444444444443
Catherine Coleman	Catherine Coleman	1.0	1.0	1.0
Carl Friedrich Gauss	Carl Friedrich Gauss	1.0	1.0	1.0
Philip II, Duke of Savoy	Philip II, Duke of Savoy	1.0	1.0	1.0
Akira Toriyama	Wonder Island	0.4074074074074074	0.0	0.4061355311355312
Bob Hawke	Bob Hawke	1.0	1.0	1.0
Blake Williams	Bilko	0.5789473684210527	0.0	0.6132142857142858
Abbas II of Egypt	Abbas II of Egypt	1.0	1.0	1.0
Brian Boitano	Brian Boitano	1.0	1.0	1.0
Leonardo André Pimenta Faria	Leonardo Andre Pimenta Faria	0.9821428571428571	0.8064516129032258	0.9617283950617285
Arthur Schopenhauer	Schopenhauer's criticism of the proofs of the parallel postulate	0.7951807228915663	0.15151515151515152	0.573061790505676
Bill Mumy	Bill Mumy	1.0	1.0	1.0
Henry II of England	Cultural depictions of Henry II of England	0.8360655737704918	0.43902439024390244	0.523552470920892
Abu al-Faraj al-Isfahani	Al-Isfahani	0.8	0.375	0.5088636363636363
Alexander III of Russia	Emperor Alexander	0.7	0.21212121212121213	0.5417732310315431
Christian Doppler	Christian Doppler	1.0	1.0	1.0
Alfred Korzybski	Korzybie	0.7083333333333334	0.2	0.6041666666666666
Andrei Tarkovsky	Andrei Tarkovsky	1.0	1.0	1.0
C. Northcote Parkinson	C. Northcote Parkinson	1.0	1.0	1.0
Ferdinand III, Holy Roman Emperor	Ferdinand of Habsburg	0.6851851851851852	0.2	0.7827272727272728
Atlantis (wrestler)	Atlantis	0.7037037037037037	0.35	0.8649122807017544
Emii	Emii	1.0	1.0	1.0
Pierroth Jr.	Pierroth	0.85	0.5384615384615384	0.9222222222222222
Eldon Maquemba	Eldon	0.5263157894736842	0.26666666666666666	0.85
João Baptista Martins	Joao Martins	0.9090909090909091	0.32	0.7746031746031746
William II of the Netherlands	William II of the Netherlands	1.0	1.0	1.0
Robert, King of Naples	Robert	0.5	0.21739130434782608	0.8303030303030302
Abel Ferreira	Abel Ferreira	1.0	1.0	1.0
Maria (Japanese singer)	Maria	0.5	0.16666666666666666	0.8173913043478261
Benjamin D. Santer	Santer	0.6666666666666666	0.2631578947368421	0.4444444444444444
Bill Walsh (American football coach)	Bill Walsh	0.6521739130434783	0.25	0.8314814814814815
Alan Kay	Alan Kay	1.0	1.0	1.0
Maximilian I, Holy Roman Emperor	Emperor Maximilian	0.9	0.3611111111111111	0.5428240740740741
Charles C. Krulak	Charles C. Krulak	1.0	1.0	1.0
Barnabas	Barnabas	1.0	1.0	1.0
Clement Attlee	Clement Attlee	1.0	1.0	1.0
Alexis Carrel	Alexis Carrel	1.0	1.0	1.0
Tony da Costa Pinho	Tony da Costa Pinho	1.0	1.0	1.0
Michael I of Romania	Michael I of Romania	1.0	1.0	1.0
Arthur St. Clair	Arthur St. Clair	1.0	1.0	1.0
Amalric of Bena	Amalric	0.6818181818181818	0.375	0.8755555555555556
Claude Louis Berthollet	Claude Louis Berthollet	1.0	1.0	1.0
Farhad Darya	Nasher	0.5555555555555556	0.0	0.47222222222222215
Aleksandr Solzhenitsyn	Aleksandr Solzhenitsyn	1.0	1.0	1.0
Myriam Montemayor Cruz	Myriam Montemayor Cruz	1.0	1.0	1.0
Robert I, Prior of St Andrews	Robert I, Prior of St Andrews	1.0	1.0	1.0
Richard III of England	Richard III of England	1.0	1.0	1.0
Anthony of Saxony	Anthony of Saxony	1.0	1.0	1.0
Fanny Kaplan	Fanni Kaplan	0.9166666666666666	0.6	0.961111111111111
August Horch	August Horch	1.0	1.0	1.0
Christian Fernández Salas	Christian Fernandez Salas	0.98	0.7857142857142857	0.9375833333333333
Wilhelm II, German Emperor	Wilhelm II of Germany	0.8936170212765957	0.42424242424242425	0.8495014245014244
Bill Joy	Bill Joy	1.0	1.0	1.0
Hans Christian	Hans Christian	1.0	1.0	1.0
Mary Stuart, Countess of Bute	Mary Stuart	0.725	0.3333333333333333	0.8551724137931035
Paul Hamlyn	Paul Hamlyn	1.0	1.0	1.0
Charles Martel	Rotrude of Trier	0.4666666666666667	0.0	0.5565476190476191
Tobin Wolf	Tobin Wolf	1.0	1.0	1.0
Simon (cat)	Simon	0.625	0.3333333333333333	0.8727272727272728
Ferdinand VII of Spain	Ferdinand VII of Spain	1.0	1.0	1.0
Henry VII of England	Henry Tudor	0.6774193548387096	0.19230769230769232	0.7634848484848484
Alexander Mackenzie	Alexander Mackenzie	1.0	1.0	1.0
C. S. Lewis	Clive Lewis	0.7727272727272727	0.29411764705882354	0.7175324675324676
Farah Pahlavi	Farah Pahlavi	1.0	1.0	1.0
Chiang Kai-shek	Jieshi	0.5238095238095238	0.0	0.45555555555555555
Clarence Mackay	Clarence Mackay	1.0	1.0	1.0
Amyntas III of Macedon	Amyntas III of Macedon	1.0	1.0	1.0
Bob Knight	Bob Knight	1.0	1.0	1.0
Pascal Kondaponi	Pascal Kondaponi	1.0	1.0	1.0
Schwenck	Schwenck	1.0	1.0	1.0
Aage Bohr	Aage Niels Bohr	0.8333333333333334	0.5	0.9066666666666667
Calvin Coolidge	Calvin Coolidge	1.0	1.0	1.0
Johannes van den Bosch (chess player)	Johannes van den Bosch (chess player)	1.0	1.0	1.0
Chuck Yeager	Chuck Yeager	1.0	1.0	1.0
George W. Taylor (professor)	George W. Taylor (professor)	1.0	1.0	1.0
Postumus	Postumus	1.0	1.0	1.0
Boston Corbett	Boston Corbett	1.0	1.0	1.0
Meyer Carlos de Camargo Júnior	Meyer Carlos de Camargo Júnior	1.0	1.0	1.0
Bill Atkinson	Bill Atkinson	1.0	1.0	1.0
Abdul Hamid I	Abdul Hamid I	1.0	1.0	1.0
Berthe Morisot	Berthe Morisot	1.0	1.0	1.0
Paul Brand	Paul Brand	1.0	1.0	1.0
Aristotle	Aristotle	1.0	1.0	1.0
Jan Bernd Bicker	Jan Bernd Bicker	1.0	1.0	1.0
Chris Marker	Chris Marker	1.0	1.0	1.0
Robert of Bath	Robert of Bath	1.0	1.0	1.0
Werner Winter	Werner Winter	1.0	1.0	1.0
Nilton Pereira Mendes	Nilton Pereira Mendes	1.0	1.0	1.0
Dante (footballer)	Dante (footballer)	1.0	1.0	1.0
Hercules (wrestler)	Super Invader	0.46875	0.0	0.4535537561853351
Mary I of England	Queen Mary	0.5925925925925926	0.08	0.4843137254901961
Ahmed III	Ahmed III	1.0	1.0	1.0
Diego Mazquiarán	Diego Mazquiaran	0.96875	0.6842105263157895	0.9708333333333333
Charles Alston	Charles Alston	1.0	1.0	1.0
Lauren (footballer)	Lauren Etame Mayer	0.6756756756756757	0.1935483870967742	0.8110136452241715
Charles F. Hockett	Charles F. Hockett	1.0	1.0	1.0
Allan Dwan	Allan Dwan	1.0	1.0	1.0
Voltaire	Voltaire	1.0	1.0	1.0
Bernardo Fernandes da Silva	Bernardo Fernandes da Silva	1.0	1.0	1.0
Bernard of Clairvaux	Clairvaux	0.7241379310344828	0.38095238095238093	0.3833333333333333
Benjamin Smoke	Benjamin Smoke	1.0	1.0	1.0
Roger García Junyent	Roger García Junyent	1.0	1.0	1.0
Alexei Petrovich, Tsarevich of Russia	Tsarevich Alexei Petrovich of Russia	0.9863013698630136	0.7894736842105263	0.7745700245700246
Aron Nimzowitsch	Aaron Nimzovich	0.8387096774193549	0.34782608695652173	0.90375
Boom (entertainer)	Boom	0.36363636363636365	0.15789473684210525	0.8185185185185185
Henry III of France	Henry III of France	1.0	1.0	1.0
Abraham Lincoln	Abraham Lincoln	1.0	1.0	1.0
Eric Guerin	Eric Guerin	1.0	1.0	1.0
Antipope Boniface VII	Antipope Boniface VII	1.0	1.0	1.0
Pope Agatho	Pope Agatho	1.0	1.0	1.0
Karl Arndt	Karl Arndt	1.0	1.0	1.0
Bernhard Jensen	Bernhard Jensen	1.0	1.0	1.0
Claude Auchinleck	Claude Auchinleck	1.0	1.0	1.0
Afonso de Albuquerque	Afonso de Albuquerque	1.0	1.0	1.0
Howard E. Koch	Howard Koch	0.92	0.6666666666666666	0.95
Henry the Fowler	Henry the Fowler	1.0	1.0	1.0
Corona (footballer)	Corona (footballer)	1.0	1.0	1.0
Edgar Booth	Edgar Booth	1.0	1.0	1.0
Isabella of Savoy	Isabella of Savoy	1.0	1.0	1.0
David Abraham Cheulkar	David Abraham Cheulkar	1.0	1.0	1.0
Adam Weishaupt	Adam	0.5	0.2	0.8333333333333333
Roger Rodrigues da Silva	Roger Rodrigues da Silva	1.0	1.0	1.0
Leandro Alves da Cunha	Leandro Alves da Cunha	1.0	1.0	1.0
Rico Suave (wrestler)	Julio Estrada (wrestler)	0.8444444444444444	0.2857142857142857	0.6636904761904762
Chuck Jones	Chuck Jones	1.0	1.0	1.0
Francis García	Francis Garcia	0.9642857142857143	0.6470588235294118	0.9666666666666667
Double (singer)	Double	0.6190476190476191	0.3125	0.86
Roberto Orlando Affonso Júnior	Roberto Junior	0.7727272727272727	0.3333333333333333	0.7704040404040404
Leandro Mariano da Silva	Leandro Mariano da Silva	1.0	1.0	1.0
Christine de Pizan	Christine de Pizan	1.0	1.0	1.0
Roberto Calmon Félix	Roberto Calmon Félix	1.0	1.0	1.0
Tim (footballer)	Tim (footballer)	1.0	1.0	1.0
Elizabeth Miklosi	Elizabeth Miklosi	1.0	1.0	1.0
Lewis (cat)	Lewis	0.625	0.3333333333333333	0.8727272727272728
Alexander II of Scotland	Alexander II of Scotland	1.0	1.0	1.0
Johnson (composer)	Johnson (composer)	1.0	1.0	1.0
Ricardo Teixeira Vieira	Ricardo Teixeira Vieira	1.0	1.0	1.0
Abdul Rashid Dostum	Abdul Rashid Dostum	1.0	1.0	1.0
Bud Selig	Bud Selig	1.0	1.0	1.0
Clark Kent	Clark Kent	1.0	1.0	1.0
Lucebert	Lucebert	1.0	1.0	1.0
Britney Spears	Adnan Ghalib	0.38461538461538464	0.0	0.48809523809523814
Arcadius	Arcadius	1.0	1.0	1.0
Maria Franck	Maria Franck	1.0	1.0	1.0
Catherine of Aragon	Catherine of Aragon	1.0	1.0	1.0
Albertus Magnus	Albertus Magnus	1.0	1.0	1.0
Al Capone	Mae Capone	0.8421052631578947	0.46153846153846156	0.7544973544973544
Jeff Farmer (wrestler)	Jeff Farmer	0.8181818181818182	0.43478260869565216	0.8833333333333334
Ashoka	Asok	0.8	0.1111111111111111	0.9111111111111111
